# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	23429
#@/user_id	dc32b531-effb-4e33-b228-85587d1b6c4a
a 	啊	c=99 d=0.100281 t=23361
gun dao tou 	滚到头	c=1 d=1 t=3103
gun dong 	滚动	c=5 d=1.08467 t=4427
gun gua 	滚挂	c=1 d=1 t=7817
guo 	国	c=1 d=1 t=9680
guo 	过	c=5 d=1 t=21070
guo 	锅	c=3 d=2.92546 t=9402
guo chan 	国产	c=1 d=1 t=14801
guo cheng 	过程	c=5 d=1 t=16090
guo cheng zhong 	过程中	c=1 d=1 t=17011
guo ji ban 	国际版	c=1 d=1 t=5929
guo jia dui 	国家队	c=1 d=1 t=8717
guo lao shi 	郭老师	c=1 d=1 t=8483
guo le 	过了	c=3 d=1 t=23082
guo lv 	过滤	c=1 d=1 t=11084
guo mi 	国米	c=1 d=1 t=3747
guo nei 	国内	c=15 d=3.0289 t=19798
guo nei de 	国内的	c=1 d=1 t=12204
guo nei fu wu qi 	国内服务器	c=1 d=1 t=19574
guo nei yuan 	国内源	c=1 d=1 t=485
guo ran 	果然	c=1 d=1 t=11108
guo ran shi 	果然是	c=1 d=1 t=2086
guo ren 	过人	c=1 d=1 t=10413
guo shi 	过时	c=3 d=2.89843 t=4369
guo wai 	国外	c=4 d=1 t=19795
guo wai de 	国外的	c=1 d=1 t=7282
guo xiang 	果香	c=3 d=2.95556 t=7633
guo yu 	过于	c=4 d=1 t=9884
guo ze rui 	郭泽瑞	c=3 d=1.01106 t=3658
ha ha 	哈哈	c=2 d=1.95706 t=22715
ha ha a ha ha 	哈哈啊哈哈	c=1 d=1 t=21806
ha ha ha 	哈哈哈	c=4 d=1.00032 t=23352
ha ha ha ha 	哈哈哈哈	c=1 d=1 t=19432
ha ha ha ha ha 	哈哈哈哈哈	c=1 d=1 t=23335
ha lan de 	哈兰德	c=6 d=1.0055 t=10533
ha shi 	哈市	c=1 d=1 t=4781
ha xi 	哈希	c=2 d=1.82283 t=8678
hai 	还	c=21 d=1.00002 t=21564
hai bei 	还被	c=1 d=1 t=18576
hai bian 	海边	c=4 d=1 t=14912
hai bian de 	海边的	c=7 d=1.00115 t=18291
hai bu cuo 	还不错	c=2 d=1.00001 t=10864
hai bu ru 	还不如	c=1 d=1 t=10676
hai bu shi 	还不是	c=1 d=1 t=4139
hai bu tai 	还不太	c=1 d=1 t=2592
hai da 	还大	c=1 d=1 t=4506
hai dei 	还得	c=2 d=1.00368 t=19807
hai dian 	海淀	c=1 d=1 t=10517
hai hao 	还好	c=1 d=1 t=1461
hai hao shi 	还好是	c=1 d=1 t=20523
hai ji de 	还记得	c=1 d=1 t=5354
hai ke yi 	还可以	c=8 d=2.39538 t=19893
hai ke yi a 	还可以啊	c=1 d=1 t=7230
hai li 	海里	c=1 d=1 t=9672
hai mei 	还没	c=0 d=0.1 t=6703
hai mei chu 	还没出	c=1 d=1 t=8478
hai mei dao 	还没到	c=1 d=1 t=14771
hai mei fa chu lai 	还没发出来	c=1 d=1 t=6704
hai mei ren 	还没人	c=0 d=0.1 t=2385
hai mei ren guan 	还没人管	c=1 d=1 t=2386
hai mei yi shi dao 	还没意识到	c=1 d=1 t=18787
hai mei you 	还没有	c=2 d=1 t=12353
hai mian 	海绵	c=0 d=0.1 t=7776
hai mian fei 	海绵飞	c=1 d=1 t=7777
hai nen 	还嫩	c=1 d=1 t=6527
hai neng 	还能	c=2 d=1 t=6592
hai ou 	海鸥	c=1 d=1 t=4199
hai sha 	嗨杀	c=1 d=1 t=6077
hai shan bu liao 	还删不了	c=1 d=1 t=2273
hai shang 	还上	c=1 d=1 t=13171
hai shi 	还是	c=57 d=1.64518 t=23236
hai shi dei 	还是得	c=1 d=1 t=15053
hai shi mei 	还是没	c=0 d=0.1 t=11418
hai tian tian 	还天天	c=1 d=1 t=13311
hai wan 	海湾	c=1 d=1 t=21097
hai xia zai 	还下载	c=1 d=1 t=6680
hai xiang 	还想	c=1 d=1 t=12050
hai xiang zhe 	还想着	c=1 d=1 t=3285
hai xu yao 	还需要	c=2 d=1 t=17347
hai yan 	海燕	c=0 d=0.1 t=5919
hai yan nai tang 	海燕奶糖	c=1 d=1 t=5920
hai yao 	还要	c=4 d=0.121386 t=19803
hai yao lang fei 	还要浪费	c=1 d=1 t=19804
hai yi wei 	还以为	c=1 d=1 t=11968
hai yong 	还用	c=1 d=1 t=7993
hai you 	还有	c=19 d=1.79929 t=19931
hai you dong xi 	还有东西	c=1 d=1 t=19925
hai you feng 	还有风	c=1 d=1 t=9825
hai you ge 	还有个	c=1 d=1 t=19858
hai you ma 	还有吗	c=1 d=1 t=8513
hai you mei 	还有没	c=0 d=0.1 t=9522
hai you mei you 	还有没有	c=1 d=1 t=2583
hai you mei you qi ta 	还有没有其他	c=1 d=1 t=9523
hai you qu bie 	还有区别	c=1 d=1 t=14767
hai you wu 	还有雾	c=1 d=1 t=6459
hai you yi ge 	还有一个	c=2 d=1 t=7832
hai zai 	还在	c=2 d=1 t=20947
hai zhe me shuo 	还这么说	c=1 d=1 t=6714
hai zhen 	还真	c=0 d=0.1 t=6692
hai zhen xing 	还真行	c=1 d=1 t=6693
han hua 	汉化	c=1 d=1 t=1976
han jia 	寒假	c=1 d=1 t=4028
han liang 	含量	c=1 d=1 t=11757
han shu 	函数	c=10 d=1.00256 t=21396
han yi 	含意	c=1 d=1 t=21596
hang 	行	c=16 d=1.78332 t=22253
hang hao 	行号	c=3 d=1.956 t=11312
hang shou 	行首	c=5 d=1.89583 t=7972
hang shu 	行数	c=1 d=1 t=22327
hang wei 	行尾	c=4 d=1.89583 t=7974
hang ye 	行业	c=1 d=1 t=3320
hao 	号	c=8 d=1.98511 t=21518
hao 	好	c=13 d=1.00007 t=23171
hao bu hao 	好不好	c=1 d=1 t=1288
hao bu ji jiao 	好不计较	c=1 d=1 t=11663
hao cheng 	号称	c=2 d=1 t=12709
hao chu 	好处	c=2 d=1 t=17833
hao da 	好打	c=1 d=1 t=2730
hao dai 	好歹	c=1 d=1 t=5697
hao dao 	好到	c=1 d=1 t=11923
hao de 	好的	c=10 d=1.06304 t=21671
hao de bu de liao 	好得不得了	c=1 d=1 t=12226
hao de bu xing 	好得不行	c=2 d=1 t=12375
hao dian 	好点	c=1 d=1 t=4568
hao dian 	耗电	c=2 d=1.97531 t=4574
hao duo le 	好多了	c=1 d=1 t=20296
hao e 	好饿	c=1 d=1 t=3394
hao fo 	好佛	c=1 d=1 t=9616
hao hao 	好好	c=4 d=1 t=23058
hao hao de 	好好的	c=1 d=1 t=4628
hao he 	好喝	c=2 d=1.96079 t=8432
hao hen duo 	好很多	c=1 d=1 t=14182
hao ji 	好记	c=1 d=1 t=22458
hao ji tian 	好几天	c=1 d=1 t=23168
hao jiu 	好久	c=3 d=1 t=22951
hao kan 	好看	c=2 d=1 t=7118
hao kan a 	好看啊	c=1 d=1 t=8436
hao kan de 	好看的	c=5 d=1 t=22377
hao kan xie 	好看些	c=1 d=1 t=22455
hao kuai 	好快	c=1 d=1 t=19301
hao le 	好了	c=1 d=1 t=6736
hao le mei 	好了没	c=0 d=0.1 t=1953
hao ma 	好吗	c=3 d=1 t=19520
hao miao ji 	毫秒级	c=2 d=1.99501 t=15615
hao nan a 	好难啊	c=1 d=1 t=19094
hao shi 	好事	c=5 d=1.00112 t=14832
hao shi 	耗时	c=1 d=1 t=13553
hao shi jian 	好时间	c=1 d=1 t=110
hao shi ma 	好使吗	c=1 d=1 t=18018
hao suan 	好酸	c=1 d=1 t=18709
hao ta ma 	好他妈	c=1 d=1 t=4575
hao ting 	好听	c=1 d=1 t=4038
hao ting ma 	好听吗	c=1 d=1 t=4316
hao wu 	毫无	c=2 d=1 t=18226
hao xiang 	好像	c=13 d=1.97045 t=23073
hao xiang shi 	好像是	c=1 d=1 t=6263
hao xiao xi 	好消息	c=1 d=1 t=23372
hao yong 	好用	c=1 d=1 t=2614
hao yong a 	好用啊	c=1 d=1 t=9068
hao yong de 	好用的	c=8 d=1.03422 t=14043
hao yong ji lu 	好用记录	c=1 d=1 t=9
hao yu 	好于	c=1 d=1 t=9481
hao zai 	好在	c=1 d=1 t=9550
hao zai na 	好在哪	c=1 d=1 t=3213
he 	合	c=2 d=1.43387 t=6816
he 	和	c=296 d=2.05772 t=23310
he 	喝	c=2 d=1 t=18146
he 	核	c=3 d=2.55838 t=8260
he ben di 	和本地	c=1 d=1 t=15812
he bie ren 	和别人	c=1 d=1 t=18297
he bing 	合并	c=2 d=1 t=14877
he bu guan 	喝不惯	c=1 d=1 t=7550
he dao 	喝道	c=1 d=1 t=14835
he dao tu 	喝到吐	c=1 d=1 t=14830
he de 	喝的	c=1 d=1 t=14762
he dian jiu 	喝点酒	c=1 d=1 t=12829
he gai 	合盖	c=1 d=1 t=3269
he gai 	盒盖	c=2 d=1.00077 t=4703
he ge 	合格	c=4 d=1.12556 t=19819
he gu ji 	和估计	c=1 d=1 t=17169
he he 	呵呵	c=1 d=1 t=16960
he jiu 	喝酒	c=4 d=1 t=18198
he kai shui 	喝开水	c=1 d=1 t=8430
he le 	喝了	c=3 d=1.00006 t=20007
he le jiu 	喝了酒	c=1 d=1 t=18082
he le ka fei 	喝了咖啡	c=1 d=1 t=23116
he li 	合理	c=1 d=1 t=21706
he li ma 	合理吗	c=2 d=1 t=21713
he ni 	和你	c=1 d=1 t=4913
he qi 	何其	c=1 d=0.1 t=18813
he qi bei zai 	何其悲栽	c=1 d=1 t=18814
he shang mian 	和上面	c=1 d=1 t=2292
he shi 	何时	c=3 d=1 t=17839
he shi 	合适	c=5 d=1.00403 t=16291
he shi de 	合适的	c=1 d=1 t=12104
he tong xue 	何同学	c=1 d=1 t=10458
he tu le 	和吐了	c=1 d=1 t=18145
he wan jiu 	喝完酒	c=1 d=1 t=23154
he wo 	和我	c=1 d=1 t=2659
he xian 	核显	c=1 d=1 t=3881
he xin 	核心	c=11 d=1.00027 t=20255
he xin dai ma 	核心代码	c=2 d=1.97045 t=4366
he yu mao qi 	和羽毛器	c=1 d=1 t=13233
he zai 	何在	c=1 d=1 t=5648
he zu 	合租	c=1 d=1 t=3377
he zuo 	合作	c=1 d=1 t=12241
hei 	黑	c=3 d=1.97531 t=12195
hei ping 	黑屏	c=1 d=1 t=4701
hei ren 	黑人	c=0 d=0.1 t=5270
hei se 	黑色	c=4 d=1 t=20510
hei se you mo 	黑色幽默	c=1 d=1 t=4642
hen 	很	c=15 d=3.02513 t=21121
hen bao zao 	很暴躁	c=1 d=1 t=8459
hen bu hao 	很不好	c=1 d=1 t=3790
hen cha 	很差	c=1 d=1 t=3783
hen chang jian de 	很常见的	c=1 d=1 t=7985
hen chao 	很吵	c=1 d=1 t=14127
hen chou 	很丑	c=1 d=1 t=1839
hen da 	很大	c=4 d=1 t=20959
hen duo 	很多	c=6 d=1.00056 t=19848
hen duo ren 	很多人	c=1 d=1 t=7546
hen gan jing 	很干净	c=1 d=1 t=7147
hen gao 	很高	c=2 d=1 t=16779
hen hao 	很好	c=1 d=1 t=13052
hen hao de 	很好的	c=1 d=1 t=14608
hen hao le 	很好了	c=1 d=1 t=9662
hen hua suan 	很划算	c=1 d=1 t=10102
hen jian dan 	很简单	c=1 d=1 t=17179
hen jian dan a 	很简单啊	c=1 d=1 t=19073
hen jiu 	很久	c=1 d=1 t=10299
hen jiu ba 	很就把	c=1 d=1 t=18092
hen ke xi 	很可惜	c=1 d=1 t=18304
hen ku 	很酷	c=3 d=1.18637 t=20204
hen la ji 	很垃圾	c=1 d=1 t=13408
hen ma fan le 	很麻烦了	c=1 d=1 t=18456
hen man 	很慢	c=2 d=1.99005 t=2096
hen me 	很么	c=1 d=1 t=8666
hen ming xian 	很明显	c=1 d=1 t=7616
hen nan shi xian 	很难实现	c=1 d=1 t=22073
hen nan shou 	很难受	c=2 d=1 t=14845
hen nan shou ba 	很难受吧	c=1 d=1 t=15017
hen niu 	很牛	c=0 d=0.1 t=10295
hen niu le 	很牛了	c=1 d=1 t=10296
hen qi guai 	很奇怪	c=0 d=0.1 t=18147
hen qi guai de 	很奇怪的	c=2 d=1 t=23262
hen qiang 	很强	c=1 d=1 t=14961
hen qing chu 	很清楚	c=1 d=1 t=2604
hen ren 	狠人	c=1 d=1 t=10195
hen rong yi zui 	很容易醉	c=2 d=1.99005 t=14852
hen shao 	很少	c=1 d=1 t=20469
hen wan xi 	很惋惜	c=0 d=0.1 t=8606
hen xiang 	很想	c=1 d=1 t=18153
hen xin ying 	很新颖	c=1 d=1 t=3771
hen yu chun 	很愚蠢	c=1 d=1 t=14974
hen zhong yao 	很重要	c=1 d=1 t=13918
hen zi ran de 	很自然地	c=1 d=1 t=11410
heng 	哼	c=1 d=1 t=15465
heng zhe 	横着	c=0 d=0.1 t=12454
heng zhe de 	横着的	c=1 d=1 t=12455
hong 	红	c=1 d=1 t=11189
hong bai lan 	红白蓝	c=1 d=1 t=3275
hong de ma 	红的吗	c=1 d=1 t=7602
hong du she 	红毒蛇	c=3 d=2.80878 t=10668
hong gan 	烘干	c=0 d=0.1 t=18942
hong gan ji 	烘干机	c=2 d=1.99501 t=18938
hong gan sha 	烘干啥	c=2 d=1.98511 t=18946
hong mi 	红米	c=1 d=1 t=12651
hong mo 	红魔	c=2 d=1.99501 t=10540
hong wai 	红外	c=1 d=1 t=6576
hong xian 	红线	c=1 d=1 t=495
hou 	厚	c=1 d=1 t=19012
hou 	后	c=28 d=1.04921 t=23174
hou du 	厚度	c=0 d=0.1 t=6863
hou duan 	后端	c=4 d=1 t=19446
hou jin 	后劲	c=1 d=1 t=11533
hou lai 	后来	c=2 d=1 t=23209
hou mian 	后面	c=8 d=1.79057 t=21857
hou tai 	后台	c=5 d=1 t=10453
hou xu 	后续	c=1 d=1 t=22820
hou yong 	后用	c=0 d=0.1 t=2080
hou zhi 	后置	c=1 d=1 t=12365
hou zhong 	厚重	c=1 d=1 t=6951
hu 	和	c=1 d=1 t=6386
hu dong 	互动	c=1 d=1 t=5932
hu luan 	胡乱	c=0 d=0.1 t=23019
hu luan fa lao sao 	胡乱发牢骚	c=1 d=1 t=23020
hu lve 	忽略	c=14 d=2.88471 t=14143
hu lve ge 	忽略个	c=1 d=1 t=13765
hu nan 	湖南	c=0 d=0.1 t=3384
hu qin ou 	户勤区	c=1 d=1 t=22007
hu wai 	户外	c=2 d=1.96079 t=5311
hu wei dui 	护卫队	c=1 d=1 t=6250
hu ya 	虎牙	c=2 d=1.9802 t=7502
hu yan 	胡言	c=1 d=1 t=11893
hua 	化	c=1 d=1 t=18461
hua 	画	c=5 d=1.99501 t=21117
hua 	花	c=1 d=1 t=5120
hua 	话	c=6 d=1 t=23345
hua ci 	划词	c=4 d=2.7485 t=13379
hua ci fan yi 	划词翻译	c=1 d=1 t=4481
hua de 	画的	c=1 d=1 t=9493
hua dong 	滑动	c=0 d=0.1 t=20999
hua dong dao 	滑动到	c=1 d=1 t=21000
hua fen 	划分	c=1 d=1 t=22845
hua jia 	画家	c=1 d=1 t=23288
hua le 	化了	c=2 d=1 t=23190
hua le 	花了	c=2 d=1 t=23191
hua li hu shao 	花里胡哨	c=0 d=0.1 t=23200
hua li hu shao de 	花里胡哨的	c=1 d=1 t=23201
hua shen 	化身	c=1 d=1 t=9766
hua shi jian 	花时间	c=2 d=1 t=16817
hua wei 	华为	c=2 d=1 t=14864
hua xu 	花絮	c=1 d=1 t=10616
hua yuan 	花园	c=2 d=1 t=22762
huai 	坏	c=2 d=1 t=7869
huai a 	坏啊	c=1 d=1 t=20389
huai le 	坏了	c=5 d=1 t=20420
huai xi guan 	坏习惯	c=1 d=1 t=2835
huai yi 	怀疑	c=1 d=1 t=12861
huan 	幻	c=2 d=1.99005 t=11820
huan 	换	c=15 d=1.16107 t=23308
huan che 	换车	c=1 d=1 t=3378
huan cheng 	换成	c=1 d=1 t=21206
huan cheng le 	换成了	c=1 d=1 t=22548
huan chu 	患处	c=0 d=0.1 t=20281
huan chu 	换出	c=1 d=1.00001 t=22067
huan cun 	缓存	c=3 d=1 t=20617
huan cun hang 	缓存行	c=1 d=1 t=15305
huan cun wen jian 	缓存文件	c=1 d=1 t=1418
huan cun yi zhi xing 	缓存一致性	c=1 d=1 t=15261
huan ge 	换个	c=1 d=1 t=19894
huan hang 	换行	c=2 d=1 t=22412
huan hang fu 	换行符	c=3 d=1 t=22313
huan hao ma 	换号码	c=1 d=1 t=16016
huan hui le 	换回了	c=1 d=1 t=3850
huan jie 	环节	c=5 d=4.83996 t=690
huan jin 	换进	c=1 d=1 t=9468
huan jing 	环境	c=18 d=1.91246 t=23309
huan le ge 	换了个	c=1 d=1 t=6111
huan qu 	换取	c=1 d=1 t=17472
huan ren 	换人	c=0 d=0.1 t=5926
huan ren le ba 	换人了吧	c=1 d=1 t=5927
huan ru huan chu 	换入换出	c=1 d=1 t=20283
huan ru huan chu 	换如患处	c=1 d=1 t=20282
huan tou 	换头	c=1 d=1 t=21921
huan xing 	唤醒	c=1 d=1 t=4708
huan ying yu 	欢迎语	c=1 d=1 t=10987
huan yuan 	还原	c=1 d=1 t=20528
huan yuan dian 	还原点	c=1 d=1 t=18416
huan yuan du 	还原度	c=1 d=1 t=10724
huan zhe 	患者	c=1 d=1 t=3806
huan zhe 	换着	c=1 d=1.0162 t=3805
huan zhe yong 	换着用	c=1 d=1 t=3442
huang 	皇	c=1 d=1 t=12566
huang 	黄	c=1 d=1 t=7564
huang dan 	荒诞	c=1 d=1 t=7211
huang de 	黄的	c=1 d=1 t=7604
huang fei le 	荒废了	c=1 d=1 t=23056
huang le 	慌了	c=1 d=1.09005 t=5676
huang ma 	皇马	c=2 d=1 t=9804
huang tang 	荒唐	c=1 d=1 t=11609
hui 	会	c=34 d=2.21293 t=22871
hui 	回	c=3 d=1 t=23185
hui 	灰	c=1 d=1 t=6834
hui bao 	汇报	c=1 d=0.100881 t=19034
hui bao chi 	会保持	c=1 d=1 t=18091
hui bao cuo 	会报错	c=1 d=1 t=21460
hui bao ne 	汇报呢	c=1 d=1 t=19035
hui bei 	会被	c=1 d=1 t=7326
hui bei fu gai 	会被覆盖	c=1 d=1 t=2919
hui bu lai le 	回不来了	c=1 d=1 t=23156
hui bu qu de 	回不去的	c=2 d=1.99501 t=4594
hui che 	回车	c=2 d=1.00883 t=1290
hui chu xian 	会出现	c=3 d=2.43873 t=1199
hui da 	回答	c=4 d=1.09617 t=21261
hui dao 	会到	c=3 d=1.03271 t=16768
hui dao 	回到	c=3 d=1 t=16812
hui fan 	会犯	c=0 d=0.1 t=1565
hui fan cuo ma 	会犯错吗	c=1 d=1 t=1566
hui fu 	回复	c=2 d=1 t=13954
hui fu 	恢复	c=3 d=1.08595 t=1343
hui gui 	回归	c=1 d=1 t=3537
hui hao ma 	会好吗	c=2 d=1.98511 t=6797
hui jiang 	会将	c=1 d=1 t=20360
hui ju 	汇聚	c=1 d=1 t=10951
hui lai 	回来	c=3 d=1 t=19381
hui lai ba 	回来吧	c=1 d=1 t=3922
hui lai gao 	回来搞	c=1 d=1 t=2025
hui le 	会了	c=1 d=1 t=19068
hui le 	回了	c=1 d=1 t=19067
hui pu 	惠普	c=2 d=1.97045 t=1931
hui qu 	回去	c=9 d=1.09515 t=20435
hui qu bu 	回去不	c=1 d=1 t=9420
hui qu da fen e 	回去大份额	c=1 d=1 t=20425
hui shou 	回收	c=19 d=1.02416 t=19658
hui shou zhan 	回收站	c=1 d=0.105017 t=1477
hui shou zhan a 	回收站啊	c=1 d=1 t=1478
hui su she 	回宿舍	c=1 d=1 t=23140
hui su she le ma 	回宿舍了吗	c=1 d=0.226186 t=12955
hui ting 	会停	c=1 d=1 t=1975
hui yi 	会议	c=7 d=1.83899 t=11814
hui yuan 	会员	c=2 d=1 t=13009
hui yuan a 	会员啊	c=1 d=1 t=7760
hun dun 	混沌	c=1 d=1 t=21727
hun shen 	浑身	c=1 d=1 t=6549
huo 	活	c=4 d=1 t=16859
huo dao 	活到	c=1 d=1 t=8629
huo de 	获得	c=1 d=1 t=22076
huo de le 	获得了	c=1 d=1 t=14994
huo dong 	活动	c=4 d=1.63128 t=19530
huo dong ri 	活动日	c=1 d=1 t=3335
huo hu 	火狐	c=2 d=1.9802 t=4304
huo le 	活了	c=0 d=0.1 t=5705
huo qu 	获取	c=24 d=1.93481 t=23286
huo zhe 	或者	c=11 d=1.01651 t=23222
huo zhe 	活着	c=1 d=1 t=13626
huo zhe shi 	或者是	c=1 d=1 t=5887
ji 	几	c=2 d=1.8781 t=8545
ji 	即	c=14 d=1.00095 t=17943
ji 	季	c=1 d=1 t=17695
ji 	急	c=1 d=1 t=1082
ji 	机	c=6 d=1 t=21328
ji 	继	c=1 d=0.104275 t=12024
ji an shi 	吉安市	c=0 d=0.1 t=14719
ji ba 	鸡巴	c=1 d=1 t=6699
ji bai 	几百	c=0 d=0.1 t=21236
ji bai hang 	几百行	c=1 d=1 t=21237
ji ben 	基本	c=9 d=1.20908 t=22272
ji ben shang 	基本上	c=2 d=1 t=9354
ji ben shu ju lei xing 	基本数据类型	c=1 d=1 t=6440
ji bi ji 	记笔记	c=1 d=1 t=10889
ji bie 	级别	c=1 d=1 t=12146
ji bu zhu 	记不住	c=1 d=1 t=8032
ji cheng le 	集成了	c=1 d=1 t=2997
ji chu 	基础	c=1 d=1 t=19393
ji chu 	挤出	c=1 d=1 t=18170
ji cun qi 	寄存器	c=3 d=1 t=22036
ji de 	记得	c=3 d=0.100367 t=23084
ji de xie 	记得写	c=1 d=1 t=23085
ji dian 	几点	c=2 d=0.1 t=17814
ji dian chi 	几点吃	c=1 d=1 t=9936
ji dian chu lai de 	几点出来的	c=1 d=1 t=17815
ji dian qi 	几点起	c=1 d=1 t=13152
ji dian qu 	几点去	c=1 d=1 t=6328
ji diao 	基调	c=0 d=0.1 t=18259
ji diao zhong 	基调中	c=1 d=1 t=18260
ji fen 	积分	c=3 d=1 t=16834
ji fen bang 	积分榜	c=1 d=1 t=8568
ji feng 	疾风	c=1 d=1 t=16833
ji ge 	几个	c=9 d=1.02848 t=20644
ji ge ren 	几个人	c=2 d=1.99005 t=8500
ji ge yue 	几个月	c=1 d=1 t=3446
ji guang 	激光	c=1 d=1 t=13638
ji guang bi 	激光笔	c=1 d=1 t=13634
ji hu 	几乎	c=3 d=1 t=17054
ji huang 	饥荒	c=2 d=1 t=10104
ji huang fu wu qi 	饥荒服务器	c=1 d=1 t=4659
ji huo 	激活	c=3 d=1 t=22510
ji huo de 	激活的	c=1 d=1 t=514
ji huo hou 	激活后	c=1 d=1 t=731
ji jia 	机架	c=2 d=1 t=17914
ji jiao 	计较	c=0 d=0.1 t=11662
ji ke 	即可	c=4 d=1.85904 t=22305
ji ke 	极客	c=1 d=1 t=21096
ji kuai 	极快	c=1 d=1 t=10410
ji kuai 	鸡块	c=1 d=1 t=10411
ji lu 	记录	c=12 d=1.44533 t=23348
ji lu dao 	记录到	c=1 d=1 t=12303
ji lu pian 	纪录片	c=1 d=1 t=13115
ji lu xia 	记录下	c=1 d=1 t=22891
ji mi 	机密	c=1 d=1 t=9606
ji neng 	技能	c=1 d=1 t=12572
ji nian 	几年	c=1 d=1 t=21807
ji nian 	纪念	c=1 d=1 t=21809
ji qi 	机器	c=12 d=0.100736 t=21475
ji qi ban ben 	机器版本	c=1 d=1 t=21476
ji qi cuo wu 	极其错误	c=1 d=1 t=14034
ji qi ren 	机器人	c=2 d=1.92774 t=22250
ji qiao 	技巧	c=1 d=1 t=1144
ji qing 	激情	c=1 d=1 t=10117
ji qun 	集群	c=7 d=1.08119 t=18625
ji qun zi yuan 	集群资源	c=1 d=1 t=16131
ji ru 	计入	c=1 d=1 t=16708
ji shen 	机身	c=2 d=1.956 t=7692
ji shi 	几十	c=1 d=1 t=15975
ji shi 	即使	c=3 d=1 t=23319
ji shi 	及时	c=2 d=1 t=15973
ji shi nian qian 	几十年前	c=1 d=1 t=20728
ji shi wei miao 	即是微妙	c=1 d=1 t=15974
ji shu 	技术	c=9 d=1.00027 t=23005
ji shu qi 	计数器	c=5 d=1 t=20850
ji shu shu ji 	技术书籍	c=1 d=1 t=5342
ji su 	极速	c=1 d=1 t=11578
ji suan 	计算	c=6 d=1 t=21327
ji suan ji 	计算机	c=6 d=1.00199 t=20760
ji suan jie dian 	计算节点	c=1 d=1 t=17862
ji suan mi ji xing 	计算密集型	c=1 d=1 t=13812
ji sui 	几岁	c=1 d=1 t=8630
ji tian 	几天	c=1 d=1 t=18299
ji tuan 	集团	c=0 d=0.1 t=4973
ji tuan nian 	集团年	c=1 d=1 t=4974
ji wang 	计网	c=2 d=2.08216 t=17657
ji wei 	极为	c=2 d=1 t=3502
ji wei mi 	几微米	c=0 d=0.1 t=15953
ji wei mi ao 	几微米傲	c=1 d=1 t=15954
ji xiao man 	姬小满	c=1 d=1 t=8735
ji xu 	继续	c=5 d=1 t=22614
ji yong 	急用	c=1 d=1 t=1306
ji yu 	基于	c=10 d=1.55156 t=20581
ji yuan 	纪元	c=1 d=1 t=5808
ji zhang 	击掌	c=1 d=1 t=6082
ji zhi 	机制	c=14 d=1 t=22124
ji zhong shi 	集中式	c=1 d=1 t=16179
ji zhu 	记住	c=1 d=1 t=10172
ji zhun ce shi 	基准测试	c=1 d=1 t=19955
jia 	假	c=1 d=1 t=17700
jia 	加	c=2 d=1.04252 t=6653
jia 	架	c=1 d=1 t=13030
jia ban 	加班	c=1 d=1 t=6183
jia bao 	加爆	c=1 d=1 t=21961
jia da le 	加大了	c=0 d=0.1 t=4872
jia ding 	假定	c=1 d=1 t=16501
jia ge 	价格	c=18 d=1 t=14719
jia ge 	加个	c=1 d=1 t=12252
jia gou 	架构	c=11 d=1.00072 t=22865
jia gou yun 	架构晕	c=1 d=1 t=3327
jia hui lai 	加回来	c=1 d=1 t=13795
jia jin qu 	加进去	c=0 d=0.1 t=1511
jia jin qu le 	加进去了	c=1 d=1 t=1512
jia le 	加了	c=4 d=1.00001 t=21959
jia qiang 	加强	c=2 d=1.09301 t=516
jia quan 	加权	c=2 d=2.00795 t=4369
jia quan de 	加权的	c=1 d=1 t=4370
jia ru 	假如	c=1 d=1 t=19974
jia ru 	加入	c=6 d=2.409 t=20147
jia shang 	加上	c=4 d=2.71511 t=22422
jia she 	假设	c=1 d=1 t=10348
jia si 	假死	c=2 d=1.99005 t=4871
jia su 	加速	c=4 d=1 t=13831
jia su bi 	加速比	c=1 d=1 t=15328
jia suo 	加锁	c=1 d=1 t=8270
jia ting ban 	家庭版	c=3 d=1.80119 t=3379
jia ting zu 	家庭组	c=1 d=1 t=6890
jia yong 	家用	c=1 d=1 t=18487
jia you 	加油	c=3 d=2.06314 t=23361
jia zai 	加载	c=4 d=1 t=22585
jia zai bu chu lai 	加载不出来	c=1 d=1 t=18752
jia zai su du 	加载速度	c=1 d=1 t=3161
jia zhi 	价值	c=2 d=1.57121 t=7215
jian 	件	c=1 d=1 t=12441
jian 	剪	c=0 d=0.1 t=1317
jian 	见	c=2 d=1 t=9464
jian 	键	c=2 d=1.86936 t=7942
jian ao 	煎熬	c=1 d=1 t=4796
jian bao zhi 	剪报纸	c=1 d=1 t=1318
jian bian 	简便	c=0 d=0.1 t=9524
jian bian fang shi 	简便方式	c=1 d=1 t=9525
jian cang 	剪藏	c=5 d=3.63071 t=22950
jian ce 	检测	c=5 d=1 t=22122
jian cha 	检查	c=11 d=1.24028 t=22516
jian cha dao 	检查到	c=1 d=1 t=20357
jian cha le 	检查了	c=1 d=1 t=9414
jian cheng 	简称	c=1 d=1 t=14541
jian dan 	煎蛋	c=4 d=1.00135 t=19657
jian dan 	简单	c=8 d=1.29471 t=22877
jian dan de 	简单的	c=4 d=1.85635 t=22649
jian dao 	见到	c=3 d=1.99005 t=18769
